"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","cell adhesion mediated by integrin","GO:0033627","0.0021338140443275307","2.6708434307603346","80","967","15","16307","TGFB2,ITGA1,ITGB4,ITGA2,EFNA1,EPHA2,MUC1,ITGB8,PODXL,ITGA5,ITGAV,ITGB5,ITGB1,SERPINE1,FBN1"
"GO:BP","cellular response to nutrient levels","GO:0031669","0.0022625462599852974","2.6454025324538257","170","967","24","16307","RICTOR,EIF2AK3,WIPI1,FNIP1,PRKAG2,PRKAA2,PLIN3,MN1,SESN1,PMAIP1,PPARA,GAS6,WDR45,ELAPOR1,RXRA,DAP,LAMP2,PDK4,CPEB4,STK26,GABARAPL1,FOLR1,CDKN1A,LPL"
"GO:BP","lysosomal lumen acidification","GO:0007042","0.002288776143956184","2.640396681855268","19","967","7","16307","ATP6AP1,ATP6V1A,ATP6V1H,ATP6V1D,ATP6AP2,TCIRG1,GRN"
"GO:BP","nitric oxide biosynthetic process","GO:0006809","0.0023989653231476006","2.619976029678894","55","967","12","16307","KLF4,CD47,CYB5R3,DDAH1,SMAD3,CYB5B,ATP2B4,NQO1,SIRPA,INSR,ASS1,CLU"
"GO:BP","response to starvation","GO:0042594","0.002439583619234043","2.6126842914071995","150","967","22","16307","EIF2AK3,WIPI1,FNIP1,PRKAG2,PRKAA2,PLIN3,PPARGC1A,SESN1,PMAIP1,PPARA,ULK2,WDR45,ELAPOR1,EIF2AK1,FOXK1,DAP,LAMP2,PDK4,CPEB4,STK26,GABARAPL1,CDKN1A"
"GO:BP","autophagosome assembly","GO:0000045","0.0024686606841346575","2.607538599470641","100","967","17","16307","WIPI1,RAB1B,ATP2A2,CHMP4B,SMURF1,MTM1,RB1CC1,ULK2,WDR45,ELAPOR1,ATG2A,ATG13,TOM1,TP53INP2,ARFIP2,SEC22B,GABARAPL1"
"GO:BP","positive regulation of endopeptidase activity","GO:0010950","0.002647707580026098","2.5771299812390285","151","967","22","16307","EIF2AK3,APH1B,BCL2L13,BID,ARL6IP5,PMAIP1,EFNA1,SMAD3,PSME1,PICALM,PDCD6,COL4A3,DAP,CYFIP2,NCSTN,MBP,RPS27L,VSIR,CTSD,STAT3,PERP,GSN"
"GO:BP","chondroitin sulfate biosynthetic process","GO:0030206","0.0027163998708646326","2.5660062988512866","14","967","6","16307","CHST12,CHST15,CSGALNACT1,CHST3,CHPF,CHPF2"
"GO:BP","chondroitin sulfate proteoglycan metabolic process","GO:0050654","0.002796858597117982","2.5533294900259516","26","967","8","16307","CHST12,HYAL1,CHST15,CSGALNACT1,XYLT1,CHST3,CHPF,CHPF2"
"GO:BP","regulation of integrin-mediated signaling pathway","GO:2001044","0.0030378140792617836","2.517438809413816","20","967","7","16307","LAMA1,LAMB1,TIMP1,LAMB2,LIMS2,LAMC1,CD63"
"GO:BP","chondroitin sulfate metabolic process","GO:0030204","0.0030378140792617836","2.517438809413816","20","967","7","16307","CHST12,HYAL1,CHST15,CSGALNACT1,CHST3,CHPF,CHPF2"
"GO:BP","chondroitin sulfate proteoglycan biosynthetic process","GO:0050650","0.0030378140792617836","2.517438809413816","20","967","7","16307","CHST12,CHST15,CSGALNACT1,XYLT1,CHST3,CHPF,CHPF2"
"GO:BP","positive regulation of vasculature development","GO:1904018","0.003051645381668738","2.51546593524286","122","967","19","16307","JUP,HMOX1,HYAL1,KLF4,RRAS,SASH1,ANGPTL4,HK2,PDCD6,ECM1,GATA2,ITGB8,ITGA5,SEMA5A,WNT5A,ITGB1,JAK1,GRN,SERPINE1"
"GO:BP","positive regulation of angiogenesis","GO:0045766","0.003051645381668738","2.51546593524286","122","967","19","16307","JUP,HMOX1,HYAL1,KLF4,RRAS,SASH1,ANGPTL4,HK2,PDCD6,ECM1,GATA2,ITGB8,ITGA5,SEMA5A,WNT5A,ITGB1,JAK1,GRN,SERPINE1"
"GO:BP","regulation of protein localization to membrane","GO:1905475","0.0031691745544405172","2.4990538397170643","143","967","21","16307","VAMP8,STX3,ZDHHC7,TMEM59,PDZK1,SPTBN1,MFF,ACSL3,PICALM,EGFR,ATP2B4,GPC1,LGALS3,LRP1,EPHA2,CHP1,ITGB1,SQSTM1,NKD2,DAB2,GSN"
"GO:BP","intracellular pH reduction","GO:0051452","0.0031806675918936637","2.49748171616446","41","967","10","16307","ATP6V0D1,ATP6AP1,ATP6V1A,ATP6V1H,ATP6V1D,ATP6AP2,RAB20,TCIRG1,ATP6V0E1,GRN"
"GO:BP","negative regulation of peptidase activity","GO:0010466","0.003247623648674715","2.4884343047923214","133","967","20","16307","CAST,XIAP,FNIP1,BIN1,KLF4,TIMP1,CD44,USP47,GAS6,DNAJB6,PICALM,ECM1,ANXA8L1,PCID2,TIMP2,LRP1,CTSB,ANXA8,TIMP3,SERPINE1"
"GO:BP","autophagosome organization","GO:1905037","0.0035784176638797363","2.446308971054222","104","967","17","16307","WIPI1,RAB1B,ATP2A2,CHMP4B,SMURF1,MTM1,RB1CC1,ULK2,WDR45,ELAPOR1,ATG2A,ATG13,TOM1,TP53INP2,ARFIP2,SEC22B,GABARAPL1"
"GO:BP","nitric oxide metabolic process","GO:0046209","0.0035784176638797363","2.446308971054222","58","967","12","16307","KLF4,CD47,CYB5R3,DDAH1,SMAD3,CYB5B,ATP2B4,NQO1,SIRPA,INSR,ASS1,CLU"
"GO:BP","glycosaminoglycan metabolic process","GO:0030203","0.0036275714908627363","2.440384019887815","85","967","15","16307","CHST12,HYAL1,FUCA1,CHST15,B3GNT3,CD44,CSGALNACT1,XYLT1,CHST3,UST,CHPF,B4GALT4,GNS,CEMIP2,CHPF2"
"GO:BP","aminoglycan metabolic process","GO:0006022","0.003862116900965201","2.4131745848611947","95","967","16","16307","CHST12,HYAL1,FUCA1,CHST15,B3GNT3,CD44,B3GNT9,CSGALNACT1,XYLT1,CHST3,UST,CHPF,B4GALT4,GNS,CEMIP2,CHPF2"
"GO:BP","regulation of macroautophagy","GO:0016241","0.003963716443856245","2.401897421611907","146","967","21","16307","WIPI1,RHEB,PRKAA2,EXOC4,CHMP4B,CAPN1,SESN1,MTM1,ATP6V0D1,WDR45,ATP6V1A,ELAPOR1,ATP6V1H,ATP6V1D,ATG2A,TOM1,ATP6V1G1,SEC22B,ATP6V1E1,ATP6V0E1,OPTN"
"GO:BP","reactive nitrogen species metabolic process","GO:2001057","0.004061506127414016","2.3913128872283345","59","967","12","16307","KLF4,CD47,CYB5R3,DDAH1,SMAD3,CYB5B,ATP2B4,NQO1,SIRPA,INSR,ASS1,CLU"
"GO:BP","biomineral tissue development","GO:0031214","0.004306785109542709","2.3658467971642763","116","967","18","16307","ANO6,EIF2AK3,FGFR3,LGR4,BMP2,PTK2B,GAS6,ISG15,SBDS,NBR1,RXRA,ECM1,CCN1,FAM20C,BCOR,ANKH,FBN2,ALPL"
"GO:BP","positive regulation of cell-substrate adhesion","GO:0010811","0.0044585485295990535","2.3508065018667126","87","967","15","16307","JUP,DOCK5,P4HB,CDH13,RRAS,GSK3B,PTK2B,LIMS2,CALR,NEDD9,FBLN1,UTRN,CDK6,PTPRJ,CSF1"
"GO:BP","regulation of metalloendopeptidase activity","GO:1904683","0.0044585485295990535","2.3508065018667126","6","967","4","16307","PICALM,MBP,STAT3,TIMP3"
"GO:BP","positive regulation of protein localization to cell periphery","GO:1904377","0.00463681203240458","2.3337805092247637","60","967","12","16307","STX3,SPTBN1,ACSL3,GNAI1,EGFR,ATP2B4,LGALS3,LRP1,EPHA2,ITGB1,SQSTM1,NKD2"
"GO:BP","regulation of pH","GO:0006885","0.00463681203240458","2.3337805092247637","78","967","14","16307","SLC9A8,SLC26A6,ATP6V0D1,ATP6AP1,ATP6V1A,ATP6V1H,ATP6V1D,PDK4,ATP6AP2,RAB20,TCIRG1,ATP6V0E1,CHP1,GRN"
"GO:BP","regulation of endocytosis","GO:0030100","0.00463681203240458","2.3337805092247637","159","967","22","16307","ANO6,LRPAP1,CDH13,ABL2,C3,MKLN1,ABCA7,ABCA2,SDCBP,WASL,AAK1,PICALM,LGALS3,CD63,LRP1,RAB31,INSR,ITGAV,DAB2,SERPINE1,SMPD1,CLU"
"GO:BP","regulation of extrinsic apoptotic signaling pathway via death domain receptors","GO:1902041","0.004883634625135804","2.311256835763831","36","967","9","16307","HMOX1,GSK3B,PMAIP1,MADD,LGALS3,TNFAIP3,ICAM1,TIMP3,SERPINE1"
"GO:BP","negative regulation of epithelial cell apoptotic process","GO:1904036","0.004883634625135804","2.311256835763831","36","967","9","16307","CAST,PPARA,GAS6,WFS1,GATA2,TNFAIP3,ICAM1,SEMA5A,SERPINE1"
"GO:BP","cellular response to extracellular stimulus","GO:0031668","0.00493223068491212","2.3069566192536217","182","967","24","16307","RICTOR,EIF2AK3,WIPI1,FNIP1,PRKAG2,PRKAA2,PLIN3,MN1,SESN1,PMAIP1,PPARA,GAS6,WDR45,ELAPOR1,RXRA,DAP,LAMP2,PDK4,CPEB4,STK26,GABARAPL1,FOLR1,CDKN1A,LPL"
"GO:BP","ammonium import across plasma membrane","GO:0140157","0.005162064122961031","2.2871766049693734","3","967","3","16307","SLC12A6,SLC12A4,SLC12A7"
"GO:BP","regulation of transforming growth factor beta production","GO:0071634","0.005162064122961031","2.2871766049693734","29","967","8","16307","TGFB2,SMAD3,LTBP1,FBLN1,ITGB8,ATP6AP2,ITGAV,CD46"
"GO:BP","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway","GO:0002484","0.005162064122961031","2.2871766049693734","3","967","3","16307","HLA-A,HLA-C,HLA-B"
"GO:BP","antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent","GO:0002486","0.005162064122961031","2.2871766049693734","3","967","3","16307","HLA-A,HLA-C,HLA-B"
"GO:BP","regulation of stress-activated MAPK cascade","GO:0032872","0.005681555922848739","2.2455327142584944","162","967","22","16307","XIAP,TGFB2,KLHDC10,DUSP10,MINK1,CYLD,ARL6IP5,ZNF622,SASH1,APP,BMP2,SDCBP,PTK2B,IGFBP6,EGFR,NBR1,SIRPA,GSTP1,WNT7B,CCN2,DUSP1,SH3RF3"
"GO:BP","axon extension","GO:0048675","0.005681555922848739","2.2455327142584944","80","967","14","16307","GOLGA4,MEGF8,CYFIP1,GSK3B,USP9X,SEMA4B,ULK2,AUTS2,LIMK1,L1CAM,NRP2,SEMA5A,SEMA3B,OLFM1"
"GO:BP","cartilage development","GO:0051216","0.005870324733573055","2.2313378738634486","90","967","15","16307","EIF2AK3,HYAL1,FGFR3,BMP2,CD44,WNT9A,CSGALNACT1,BMP1,WNT7B,WNT10B,SULF2,ITGB8,SCIN,LOXL2,CREB3L2"
"GO:BP","positive regulation of actin nucleation","GO:0051127","0.005870324733573055","2.2313378738634486","11","967","5","16307","WASF2,CYFIP1,WASF3,SCIN,GSN"
"GO:BP","regulation of vacuole organization","GO:0044088","0.005870324733573055","2.2313378738634486","45","967","10","16307","WIPI1,RAB1B,SCARB2,CHMP4B,MTM1,WDR45,ELAPOR1,ATG2A,SEC22B,GRN"
"GO:BP","amyloid precursor protein biosynthetic process","GO:0042983","0.005870324733573055","2.2313378738634486","11","967","5","16307","ABCA7,ABCA2,NECAB3,ITM2B,BACE2"
"GO:BP","stress-activated MAPK cascade","GO:0051403","0.005870324733573055","2.2313378738634486","196","967","25","16307","XIAP,TGFB2,KLHDC10,CCM2,DUSP10,MAP2K3,MINK1,CYLD,ZFP36L1,ARL6IP5,ZNF622,SASH1,APP,BMP2,SDCBP,PTK2B,IGFBP6,EGFR,NBR1,SIRPA,GSTP1,WNT7B,CCN2,DUSP1,SH3RF3"
"GO:BP","regulation of amyloid precursor protein biosynthetic process","GO:0042984","0.005870324733573055","2.2313378738634486","11","967","5","16307","ABCA7,ABCA2,NECAB3,ITM2B,BACE2"
"GO:BP","Golgi lumen acidification","GO:0061795","0.005870324733573055","2.2313378738634486","11","967","5","16307","ATP6AP1,ATP6V1A,ATP6V1H,ATP6V1D,ATP6AP2"
"GO:BP","regulation of lysosomal lumen pH","GO:0035751","0.006230718065971582","2.205461899710246","23","967","7","16307","ATP6AP1,ATP6V1A,ATP6V1H,ATP6V1D,ATP6AP2,TCIRG1,GRN"
"GO:BP","positive regulation of protein localization to plasma membrane","GO:1903078","0.006367916150420167","2.196002663808324","54","967","11","16307","STX3,SPTBN1,ACSL3,EGFR,ATP2B4,LGALS3,LRP1,EPHA2,ITGB1,SQSTM1,NKD2"
"GO:BP","regulation of stress-activated protein kinase signaling cascade","GO:0070302","0.006418642418025897","2.192556818147138","164","967","22","16307","XIAP,TGFB2,KLHDC10,DUSP10,MINK1,CYLD,ARL6IP5,ZNF622,SASH1,APP,BMP2,SDCBP,PTK2B,IGFBP6,EGFR,NBR1,SIRPA,GSTP1,WNT7B,CCN2,DUSP1,SH3RF3"
"GO:BP","regulation of glycoprotein metabolic process","GO:1903018","0.006782633298227425","2.168601662348415","38","967","9","16307","RAB1B,ABCA7,ABCA2,TM9SF2,NECAB3,GOLGA2,ITM2B,CHP1,BACE2"
"GO:BP","autophagy of nucleus","GO:0044804","0.00680475047557258","2.167187795378908","17","967","6","16307","WIPI1,RB1CC1,ULK2,WDR45,ATG2A,ATG13"
"GO:BP","epithelial cell apoptotic process","GO:1904019","0.006845782021296639","2.16457693348549","82","967","14","16307","ANO6,CAST,BID,ZFP36L1,PPARA,GAS6,WFS1,COL4A3,GATA2,TNFAIP3,ICAM1,SEMA5A,GSN,SERPINE1"
"GO:BP","regulation of intracellular pH","GO:0051453","0.0072200254977332606","2.1414612687038646","73","967","13","16307","SLC9A8,SLC26A6,ATP6V0D1,ATP6AP1,ATP6V1A,ATP6V1H,ATP6V1D,ATP6AP2,RAB20,TCIRG1,ATP6V0E1,CHP1,GRN"
"GO:BP","response to oxygen levels","GO:0070482","0.007291734364355345","2.137169160943554","177","967","23","16307","HMOX1,MDM2,TGFB2,TMBIM6,AQP3,P4HB,CITED2,ZFP36L1,ANGPTL4,BMP2,PMAIP1,DDAH1,SMAD3,ATP6V0D1,ATP6AP1,ATP6V1A,ITPR2,ARNT2,ATP6V1G1,CPEB4,ITPR1,LOXL2,EPAS1"
"GO:BP","response to retinoic acid","GO:0032526","0.007367073438678746","2.132705000858572","64","967","12","16307","SETX,AQP3,ABL2,GSK3B,PTK6,WNT9A,PTK2B,RXRA,MICB,WNT7B,WNT10B,WNT5A"
"GO:BP","cellular response to transforming growth factor beta stimulus","GO:0071560","0.007419231480608519","2.1296410786854985","200","967","25","16307","TGFB2,CITED2,ZFP36L1,SMURF1,USP9X,BMP2,SDCBP,SNX25,FOS,PPARA,SMAD3,LATS2,CDKN1C,LTBP1,VASN,TGFBR3,ITGB5,WNT5A,PDE2A,STAT3,FOLR1,DAB2,FBN2,GDF15,FBN1"
"GO:BP","stress-activated protein kinase signaling cascade","GO:0031098","0.007419231480608519","2.1296410786854985","200","967","25","16307","XIAP,TGFB2,KLHDC10,CCM2,DUSP10,MAP2K3,MINK1,CYLD,ZFP36L1,ARL6IP5,ZNF622,SASH1,APP,BMP2,SDCBP,PTK2B,IGFBP6,EGFR,NBR1,SIRPA,GSTP1,WNT7B,CCN2,DUSP1,SH3RF3"
"GO:BP","transforming growth factor beta production","GO:0071604","0.0075654240910835975","2.1211667219362234","31","967","8","16307","TGFB2,SMAD3,LTBP1,FBLN1,ITGB8,ATP6AP2,ITGAV,CD46"
"GO:BP","developmental growth involved in morphogenesis","GO:0060560","0.007628224710152545","2.1175765221097933","134","967","19","16307","GOLGA4,MEGF8,CYFIP1,GSK3B,SMURF1,USP9X,APP,SEMA4B,COBL,ULK2,AUTS2,LIMK1,L1CAM,WNT7B,NRP2,SEMA5A,ADPRHL1,SEMA3B,OLFM1"
"GO:BP","vacuolar transport","GO:0007034","0.007790310829995875","2.108445213821797","145","967","20","16307","ARL8B,M6PR,BIN1,LEPROT,SCARB2,CHMP4B,SMURF1,MTM1,ATP6V0D1,SORT1,DTX3L,RILP,NPC1,LAMP2,LRP1,LAMP1,ARSB,PSAP,GRN,CLU"
"GO:BP","piecemeal microautophagy of the nucleus","GO:0034727","0.008044954952935423","2.094476383354429","7","967","4","16307","RB1CC1,ULK2,ATG2A,ATG13"
"GO:BP","regulation of receptor-mediated endocytosis","GO:0048259","0.008456505422037635","2.0728090683399003","84","967","14","16307","LRPAP1,C3,MKLN1,ABCA2,SDCBP,WASL,AAK1,PICALM,CD63,INSR,ITGAV,DAB2,SERPINE1,CLU"
"GO:BP","endosomal lumen acidification","GO:0048388","0.008609575821867034","2.0650182449180603","12","967","5","16307","ATP6AP1,ATP6V1A,ATP6V1H,ATP6V1D,ATP6AP2"
"GO:BP","extracellular negative regulation of signal transduction","GO:1900116","0.008609575821867034","2.0650182449180603","12","967","5","16307","LRPAP1,LTBP1,FBN2,CD46,FBN1"
"GO:BP","extracellular regulation of signal transduction","GO:1900115","0.008609575821867034","2.0650182449180603","12","967","5","16307","LRPAP1,LTBP1,FBN2,CD46,FBN1"
"GO:BP","regulation of cellular pH","GO:0030641","0.008960835405607472","2.047651499809668","75","967","13","16307","SLC9A8,SLC26A6,ATP6V0D1,ATP6AP1,ATP6V1A,ATP6V1H,ATP6V1D,ATP6AP2,RAB20,TCIRG1,ATP6V0E1,CHP1,GRN"
