GO.ID	Description	p.Val	FDR	Phenotype	Genes
GO:0033045	regulation of sister chromatid segregation	2.5105302069649356e-17	2.5105302069649356e-17	+1	ZWINT,UBE2C,CDC20,PLK1,ANAPC5,CCNB1,PTTG1,NDC80,MAD2L1,AURKB,CDT1,CENPE,DLGAP5,BUB1,BIRC5,TPR,SPC24,HNRNPU,ESPL1,NUF2,KNTC1,CENPF,TACC3,TTK,INCENP,ZW10,SMARCC1,SMARCC2,BUB1B,ANAPC1,SMARCB1,FBXO5,CDCA8,ATM,ANAPC7,ACTL6A
GO:0006275	regulation of DNA replication	3.863793211975632e-17	3.863793211975632e-17	+1	CCNA2,RUVBL1,MCM5,CDT1,BLM,TICRR,MCM4,GINS2,RFC5,NUCKS1,MCM3,SMC3,YY1,DSCC1,MCM7,PCNA,EHMT2,DHX9,MCM2,RFC3,CCDC88A,MCM6,CHTF18,DNA2,UCHL5,FBXO5,ATRX,TSPYL2,E2F8,RUVBL2,JADE1,RFC4,GINS4,POLE3,PDS5A,NBN,ATAD5,NFRKB,ACTL6A
GO:0007091	metaphase/anaphase transition of mitotic cell cycle	3.8747450085720145e-17	3.8747450085720145e-17	+1	ZWINT,UBE2C,CDC20,PLK1,ANAPC5,CCNB1,NDC80,MAD2L1,AURKB,CDT1,CENPE,DLGAP5,BUB1,BIRC5,TPR,SPC24,ESPL1,NUF2,KNTC1,CENPF,TACC3,TTK,INCENP,ZW10,SMARCC1,SMARCC2,BUB1B,ANAPC1,SMARCB1,FBXO5,CDCA8,ATM,ANAPC7,ACTL6A
GO:0044784	metaphase/anaphase transition of cell cycle	8.705323899410254e-17	8.705323899410254e-17	+1	ZWINT,UBE2C,CDC20,PLK1,ANAPC5,CCNB1,NDC80,MAD2L1,AURKB,CDT1,CENPE,DLGAP5,BUB1,BIRC5,TPR,SPC24,ESPL1,NUF2,KNTC1,CENPF,TACC3,TTK,INCENP,ZW10,SMARCC1,SMARCC2,BUB1B,ANAPC1,SMARCB1,FBXO5,CDCA8,ATM,ANAPC7,ACTL6A
GO:0010965	regulation of mitotic sister chromatid separation	3.691830538174686e-16	3.691830538174686e-16	+1	ZWINT,CDC20,PLK1,ANAPC5,CCNB1,PTTG1,NDC80,MAD2L1,AURKB,CDT1,DLGAP5,BUB1,BIRC5,TPR,SPC24,ESPL1,NUF2,KNTC1,CENPF,TTK,INCENP,ZW10,BUB1B,FBXO5,CDCA8,ATM,ANAPC7
GO:0007051	spindle organization	5.38716315035886e-16	5.38716315035886e-16	+1	RPS3,RCC1,STMN1,KIF11,PLK1,TPX2,CCNB1,ASPM,KIF4A,NDC80,KIFC1,AURKB,CENPE,DLGAP5,BIRC5,TPR,HNRNPU,SMC1A,AURKA,NUF2,NEK2,STIL,FSD1,INTS13,SMC3,MISP,TACC3,TTK,INCENP,RAN,KIF23,SPAG5,PSRC1,WDR62,GPSM2,RACGAP1,NUP62,AAAS,KPNB1,CDCA8,LSM14A,MZT1,CHD3,STAG2,CEP192,STAG1
GO:1905818	regulation of chromosome separation	6.6271804152982455e-16	6.6271804152982455e-16	+1	ZWINT,CDC20,PLK1,ANAPC5,CCNB1,PTTG1,NDC80,MAD2L1,AURKB,CDT1,DLGAP5,BUB1,BIRC5,TPR,SPC24,ESPL1,NUF2,KNTC1,CENPF,TTK,INCENP,ZW10,BUB1B,FBXO5,CDCA8,CSNK2A1,ATM,ANAPC7
GO:0030071	regulation of mitotic metaphase/anaphase transition	9.464201209331801e-16	9.464201209331801e-16	+1	ZWINT,UBE2C,CDC20,PLK1,ANAPC5,CCNB1,NDC80,MAD2L1,AURKB,CDT1,CENPE,DLGAP5,BUB1,BIRC5,TPR,SPC24,ESPL1,NUF2,KNTC1,CENPF,TTK,INCENP,ZW10,SMARCC1,SMARCC2,BUB1B,SMARCB1,FBXO5,CDCA8,ATM,ANAPC7,ACTL6A
GO:0051306	mitotic sister chromatid separation	9.966854844347272e-16	9.966854844347272e-16	+1	ZWINT,CDC20,PLK1,ANAPC5,CCNB1,PTTG1,NDC80,MAD2L1,AURKB,CDT1,DLGAP5,BUB1,BIRC5,TPR,SPC24,ESPL1,NUF2,KNTC1,CENPF,TTK,INCENP,ZW10,BUB1B,FBXO5,CDCA8,ATM,ANAPC7
GO:1902099	regulation of metaphase/anaphase transition of cell cycle	1.9332853650376046e-15	1.9332853650376046e-15	+1	ZWINT,UBE2C,CDC20,PLK1,ANAPC5,CCNB1,NDC80,MAD2L1,AURKB,CDT1,CENPE,DLGAP5,BUB1,BIRC5,TPR,SPC24,ESPL1,NUF2,KNTC1,CENPF,TTK,INCENP,ZW10,SMARCC1,SMARCC2,BUB1B,SMARCB1,FBXO5,CDCA8,ATM,ANAPC7,ACTL6A
GO:2001251	negative regulation of chromosome organization	8.24009437611666e-15	8.24009437611666e-15	+1	TOP2A,HNRNPA1,ZWINT,CDC20,PLK1,CCNB1,HNRNPC,PTTG1,NDC80,MAD2L1,AURKB,CDT1,PARP1,BUB1,BIRC5,TPR,SPC24,HNRNPU,ESPL1,NUF2,KNTC1,CENPF,TTK,INCENP,ZW10,PIF1,BUB1B,FBXO5,ATRX,CDCA8,NBN,ATM
GO:0051304	chromosome separation	9.598548244768788e-15	9.598548244768788e-15	+1	ZWINT,CDC20,PLK1,ANAPC5,CCNB1,PTTG1,NDC80,MAD2L1,AURKB,CDT1,DLGAP5,BUB1,BIRC5,TPR,SPC24,ESPL1,NUF2,KNTC1,CENPF,TTK,INCENP,ZW10,BUB1B,FBXO5,CDCA8,CSNK2A1,ATM,ANAPC7
GO:0071897	DNA biosynthetic process	9.742321243250145e-15	9.742321243250145e-15	+1	MYC,HNRNPA1,POLA1,FGFR4,PCLAF,DKC1,HNRNPC,AURKB,HSP90AB1,MAP3K4,CCT7,HNRNPU,GINS2,NEK2,RFC5,NHP2,POLD1,HNRNPD,DACH1,DSCC1,CCT3,USP1,CCT4,CCT2,PCNA,PIF1,HNRNPA2B1,TYMS,XRCC5,DTL,RFC3,CHTF18,POLD3,CCT8,HSP90AA1,JADE1,RFC4,GINS4,PTGES3,ATM,RPA1,POLE
GO:2000816	negative regulation of mitotic sister chromatid separation	2.0823494069800456e-14	2.0823494069800456e-14	+1	ZWINT,CDC20,PLK1,CCNB1,PTTG1,NDC80,MAD2L1,AURKB,CDT1,BUB1,BIRC5,TPR,SPC24,NUF2,KNTC1,CENPF,TTK,INCENP,ZW10,BUB1B,FBXO5,CDCA8,ATM
GO:0033046	negative regulation of sister chromatid segregation	2.0823494069800456e-14	2.0823494069800456e-14	+1	ZWINT,CDC20,PLK1,CCNB1,PTTG1,NDC80,MAD2L1,AURKB,CDT1,BUB1,BIRC5,TPR,SPC24,NUF2,KNTC1,CENPF,TTK,INCENP,ZW10,BUB1B,FBXO5,CDCA8,ATM
GO:0033048	negative regulation of mitotic sister chromatid segregation	2.0823494069800456e-14	2.0823494069800456e-14	+1	ZWINT,CDC20,PLK1,CCNB1,PTTG1,NDC80,MAD2L1,AURKB,CDT1,BUB1,BIRC5,TPR,SPC24,NUF2,KNTC1,CENPF,TTK,INCENP,ZW10,BUB1B,FBXO5,CDCA8,ATM
GO:0033047	regulation of mitotic sister chromatid segregation	2.5514169808710697e-14	2.5514169808710697e-14	+1	ZWINT,CDC20,PLK1,CCNB1,PTTG1,NDC80,MAD2L1,AURKB,CDT1,BUB1,BIRC5,TPR,SPC24,HNRNPU,NUF2,KNTC1,CENPF,TTK,INCENP,ZW10,BUB1B,FBXO5,CDCA8,ATM
GO:0051985	negative regulation of chromosome segregation	6.351532973862993e-14	6.351532973862993e-14	+1	ZWINT,CDC20,PLK1,CCNB1,PTTG1,NDC80,MAD2L1,AURKB,CDT1,BUB1,BIRC5,TPR,SPC24,NUF2,KNTC1,CENPF,TTK,INCENP,ZW10,BUB1B,FBXO5,CDCA8,ATM
GO:1905819	negative regulation of chromosome separation	6.351532973862993e-14	6.351532973862993e-14	+1	ZWINT,CDC20,PLK1,CCNB1,PTTG1,NDC80,MAD2L1,AURKB,CDT1,BUB1,BIRC5,TPR,SPC24,NUF2,KNTC1,CENPF,TTK,INCENP,ZW10,BUB1B,FBXO5,CDCA8,ATM
GO:0045841	negative regulation of mitotic metaphase/anaphase transition	8.92064350109624e-14	8.92064350109624e-14	+1	ZWINT,CDC20,PLK1,CCNB1,NDC80,MAD2L1,AURKB,CDT1,BUB1,BIRC5,TPR,SPC24,NUF2,KNTC1,CENPF,TTK,INCENP,ZW10,BUB1B,FBXO5,CDCA8,ATM
GO:0022616	DNA strand elongation	1.3753424100352618e-13	1.3753424100352618e-13	+1	POLA1,RUVBL1,MCM4,NUCKS1,MCM3,YY1,MCM7,PCNA,RFC3,DNA2,POLD3,UCHL5,RUVBL2,RFC4,POLE3,NBN,LIG1,NFRKB,ACTL6A,POLE
GO:2000573	positive regulation of DNA biosynthetic process	2.4524002397438716e-13	2.4524002397438716e-13	+1	MYC,HNRNPA1,FGFR4,DKC1,AURKB,HSP90AB1,MAP3K4,CCT7,GINS2,NEK2,RFC5,DSCC1,CCT3,USP1,CCT4,CCT2,PCNA,XRCC5,RFC3,CHTF18,CCT8,HSP90AA1,RFC4,GINS4,PTGES3,ATM
GO:1902100	negative regulation of metaphase/anaphase transition of cell cycle	2.6660846966285493e-13	2.6660846966285493e-13	+1	ZWINT,CDC20,PLK1,CCNB1,NDC80,MAD2L1,AURKB,CDT1,BUB1,BIRC5,TPR,SPC24,NUF2,KNTC1,CENPF,TTK,INCENP,ZW10,BUB1B,FBXO5,CDCA8,ATM
GO:0045839	negative regulation of mitotic nuclear division	2.9172347525242325e-13	2.9172347525242325e-13	+1	ZWINT,CDC20,PLK1,CCNB1,NDC80,MAD2L1,AURKB,CDT1,BUB1,BIRC5,TPR,SPC24,NUF2,KNTC1,CHEK1,CENPF,TTK,INCENP,ZW10,BUB1B,FBXO5,CDCA8,ATM
GO:0051784	negative regulation of nuclear division	2.9172347525242325e-13	2.9172347525242325e-13	+1	ZWINT,CDC20,PLK1,CCNB1,NDC80,MAD2L1,AURKB,CDT1,BUB1,FBXO43,BIRC5,TPR,SPC24,NUF2,KNTC1,CHEK1,CENPF,TTK,INCENP,ZW10,BUB1B,FBXO5,CDCA8,ATM
GO:2000278	regulation of DNA biosynthetic process	3.1383497289230576e-13	3.1383497289230576e-13	+1	MYC,HNRNPA1,FGFR4,DKC1,HNRNPC,AURKB,HSP90AB1,MAP3K4,CCT7,HNRNPU,GINS2,NEK2,RFC5,HNRNPD,DACH1,DSCC1,CCT3,USP1,CCT4,CCT2,PCNA,PIF1,HNRNPA2B1,XRCC5,RFC3,CHTF18,CCT8,HSP90AA1,JADE1,RFC4,GINS4,PTGES3,ATM
GO:0051310	metaphase plate congression	3.4299302707797293e-13	3.4299302707797293e-13	+1	FAM83D,CCNB1,KIF14,KIF2C,NDC80,KIFC1,AURKB,CDT1,CENPE,SEH1L,BIRC5,HNRNPU,NUF2,CENPF,KIF22,CDCA5,INCENP,EML4,ZW10,SPAG5,PSRC1,NUP62,KPNB1,CDCA8,KIF18A,BOD1
GO:0008608	attachment of spindle microtubules to kinetochore	3.623643060208671e-13	3.623643060208671e-13	+1	CCNB1,KIF2C,NDC80,AURKB,CDT1,CENPE,SEH1L,RCC2,BIRC5,SPC24,HNRNPU,NUF2,NEK2,ECT2,INCENP,EML4,SPAG5,KNL1,RACGAP1,CDCA8,BOD1
GO:0000725	recombinational repair	4.3754690405048497e-13	4.3754690405048497e-13	+1	RAD21,BRCA1,CDC45,RUVBL1,MCM5,BLM,PARP1,FEN1,MCM4,GINS2,KDM1A,NUCKS1,MCM3,CHEK1,XRCC6,MAGEF1,YY1,MCM7,SMC6,UBQLN4,RAD54L,MCM2,MRGBP,XRCC5,MCM6,RAD51AP1,PARPBP,RECQL4,RIF1,TRRAP,SFPQ,FUS,RHNO1,RUVBL2,GINS4,NBN,TONSL,ACTL6A,RPA1,MMS19,XRCC2
GO:0007094	mitotic spindle assembly checkpoint signaling	6.195711969193078e-13	6.195711969193078e-13	+1	ZWINT,CDC20,PLK1,CCNB1,NDC80,MAD2L1,AURKB,CDT1,BUB1,BIRC5,TPR,SPC24,NUF2,KNTC1,CENPF,TTK,INCENP,ZW10,BUB1B,CDCA8,ATM
GO:0071174	mitotic spindle checkpoint signaling	6.195711969193078e-13	6.195711969193078e-13	+1	ZWINT,CDC20,PLK1,CCNB1,NDC80,MAD2L1,AURKB,CDT1,BUB1,BIRC5,TPR,SPC24,NUF2,KNTC1,CENPF,TTK,INCENP,ZW10,BUB1B,CDCA8,ATM
GO:0071173	spindle assembly checkpoint signaling	6.195711969193078e-13	6.195711969193078e-13	+1	ZWINT,CDC20,PLK1,CCNB1,NDC80,MAD2L1,AURKB,CDT1,BUB1,BIRC5,TPR,SPC24,NUF2,KNTC1,CENPF,TTK,INCENP,ZW10,BUB1B,CDCA8,ATM
GO:0000075	cell cycle checkpoint signaling	9.781801190640001e-13	9.781801190640001e-13	+1	H2AX,BRCA1,CDK1,ZWINT,CDC20,PLK1,CCNB1,CDC45,NDC80,MAD2L1,AURKB,CDT1,BLM,BUB1,TICRR,BIRC5,TPR,SPC24,NUF2,KNTC1,CHEK1,CENPF,TTK,FANCD2,GTSE1,INCENP,BRIP1,ZW10,CLSPN,DTL,PRPF19,BUB1B,DNA2,ORC1,CDCA8,RHNO1,FZR1,THOC1,NBN,E2F1,ATM
GO:0031577	spindle checkpoint signaling	1.0499159899208502e-12	1.0499159899208502e-12	+1	ZWINT,CDC20,PLK1,CCNB1,NDC80,MAD2L1,AURKB,CDT1,BUB1,BIRC5,TPR,SPC24,NUF2,KNTC1,CENPF,TTK,INCENP,ZW10,BUB1B,CDCA8,ATM
GO:0050000	chromosome localization	1.6189500619491186e-12	1.6189500619491186e-12	+1	FAM83D,CCNB1,KIF14,KIF2C,NDC80,KIFC1,AURKB,CDT1,CENPE,DLGAP5,SEH1L,BIRC5,HNRNPU,NUF2,CENPF,KIF22,CDCA5,INCENP,EML4,ZW10,SPAG5,PSRC1,NUP62,KPNB1,CDCA8,KIF18A,BOD1
GO:0007080	mitotic metaphase plate congression	1.7843351467745302e-12	1.7843351467745302e-12	+1	CCNB1,KIF14,KIF2C,NDC80,KIFC1,AURKB,CDT1,CENPE,SEH1L,BIRC5,HNRNPU,NUF2,KIF22,CDCA5,INCENP,EML4,ZW10,PSRC1,NUP62,KPNB1,CDCA8,KIF18A,BOD1
GO:0006403	RNA localization	2.2932548641629183e-12	2.2932548641629183e-12	+1	HNRNPA1,NPM1,FBL,XPOT,DKC1,RUVBL1,PEG10,CCT7,NOP58,TPR,HNRNPU,NUP107,NHP2,CCT3,RAN,CCT4,CCT2,DHX9,SRSF3,HNRNPA2B1,NUP188,NUP85,RBM15B,CCT8,NUP62,KPNB1,STAU1,NUP93,RUVBL2,THOC1,ATM,XPO5,THOC3,THOC6,MEX3D,YBX1,CASC3
GO:0000723	telomere maintenance	2.438703384920596e-12	2.438703384920596e-12	+1	MYC,HNRNPA1,DKC1,HNRNPC,AURKB,HSP90AB1,MAP3K4,CCT7,BLM,PARP1,FEN1,HNRNPU,NEK2,NHP2,XRCC6,EXO1,HNRNPD,CCT3,CCT4,CCT2,PCNA,SMC6,APEX1,PIF1,HNRNPA2B1,XRCC5,DNA2,CCT8,RECQL4,RIF1,ATRX,HSP90AA1,NBN,PTGES3,ATM,RPA1
GO:0051303	establishment of chromosome localization	3.120294999552974e-12	3.120294999552974e-12	+1	FAM83D,CCNB1,KIF14,KIF2C,NDC80,KIFC1,AURKB,CDT1,CENPE,SEH1L,BIRC5,HNRNPU,NUF2,CENPF,KIF22,CDCA5,INCENP,EML4,ZW10,SPAG5,PSRC1,NUP62,KPNB1,CDCA8,KIF18A,BOD1
GO:0071103	DNA conformation change	3.5603455641406947e-12	3.5603455641406947e-12	+1	TOP2A,HMGA1,HMGB1,HMGB2,CDC45,MCM5,BLM,MCM4,GINS2,MCM3,MCM7,DHX9,MCM2,PIF1,HNRNPA2B1,MCM6,DDX11,DNA2,RECQL4,GINS4,NBN,TOP2B,TOP1MT,RPA1
GO:0032392	DNA geometric change	1.1443048497052743e-11	1.1443048497052743e-11	+1	TOP2A,HMGA1,HMGB1,HMGB2,CDC45,MCM5,BLM,MCM4,GINS2,MCM3,MCM7,DHX9,MCM2,PIF1,HNRNPA2B1,MCM6,DDX11,DNA2,RECQL4,GINS4,NBN,RPA1
GO:0042274	ribosomal small subunit biogenesis	2.381924198251802e-11	2.381924198251802e-11	+1	NPM1,RPS21,RPS25,RPSA,RPS14,RPS7,RPS5,RPS6,XRCC5,DHX37,RPS8,RPS15,RPS24,TSR1,RPS28,HEATR1,NOL11,RPS27,KRI1,UTP20,RPP40,WDR43,WDR3,UTP4
GO:0000724	double-strand break repair via homologous recombination	2.4578677368922068e-11	2.4578677368922068e-11	+1	RAD21,BRCA1,CDC45,RUVBL1,MCM5,BLM,PARP1,FEN1,MCM4,GINS2,KDM1A,NUCKS1,MCM3,CHEK1,MAGEF1,YY1,MCM7,SMC6,UBQLN4,RAD54L,MCM2,MRGBP,MCM6,RAD51AP1,PARPBP,RECQL4,RIF1,TRRAP,SFPQ,FUS,RUVBL2,GINS4,NBN,TONSL,ACTL6A,RPA1,MMS19,XRCC2
GO:0090329	regulation of DNA-templated DNA replication	3.0422638043209506e-11	3.0422638043209506e-11	+1	MCM5,CDT1,BLM,TICRR,MCM4,GINS2,RFC5,MCM3,DSCC1,MCM7,PCNA,MCM2,RFC3,MCM6,CHTF18,FBXO5,ATRX,E2F8,RFC4,GINS4,NBN
GO:0006271	DNA strand elongation involved in DNA replication	3.782452697276867e-11	3.782452697276867e-11	+1	POLA1,MCM4,MCM3,MCM7,PCNA,RFC3,DNA2,POLD3,RFC4,POLE3,LIG1,POLE
GO:0007093	mitotic cell cycle checkpoint signaling	6.96579197271512e-11	6.96579197271512e-11	+1	BRCA1,CDK1,ZWINT,CDC20,PLK1,CCNB1,NDC80,MAD2L1,AURKB,CDT1,BLM,BUB1,TICRR,BIRC5,TPR,SPC24,NUF2,KNTC1,CHEK1,CENPF,TTK,FANCD2,GTSE1,INCENP,ZW10,CLSPN,DTL,BUB1B,ORC1,CDCA8,FZR1,NBN,ATM
GO:1904666	regulation of ubiquitin protein ligase activity	1.0765812503336603e-10	1.0765812503336603e-10	+1	UBE2C,CDC20,PLK1,RPL5,MAD2L1,UBE2S,PTEN,RPS7,FBXO5,RPL23,FZR1,CDKN2A,RPL11
GO:2001252	positive regulation of chromosome organization	1.5597096442458534e-10	1.5597096442458534e-10	+1	RAD21,HNRNPA1,NCAPD2,NCAPH,NCAPG,AURKB,CDT1,MAP3K4,CCT7,TRIM28,SMC2,FEN1,TPR,NEK2,HNRNPD,CCT3,CCT4,CCT2,SMC4,HNRNPA2B1,XRCC5,DDX11,CCT8,ATRX,NBN,ATM,DNMT1
GO:0090307	mitotic spindle assembly	1.788863808916635e-10	1.788863808916635e-10	+1	KIF11,PLK1,TPX2,KIF4A,KIFC1,AURKB,BIRC5,TPR,HNRNPU,SMC1A,SMC3,MISP,INCENP,KIF23,RACGAP1,AAAS,KPNB1,CDCA8,LSM14A,MZT1,STAG2,CEP192,STAG1
GO:0032200	telomere organization	2.2150615761435181e-10	2.2150615761435181e-10	+1	MYC,HNRNPA1,DKC1,HNRNPC,AURKB,HSP90AB1,MAP3K4,CCT7,BLM,PARP1,FEN1,HNRNPU,NEK2,NHP2,XRCC6,EXO1,HNRNPD,CCT3,CCT4,CCT2,PCNA,H3-3B,SMC6,APEX1,PIF1,HNRNPA2B1,XRCC5,DNA2,CCT8,RECQL4,RIF1,ATRX,HSP90AA1,NBN,PTGES3,ATM,RPA1
GO:1901991	negative regulation of mitotic cell cycle phase transition	3.9147658327877897e-10	3.9147658327877897e-10	+1	BRCA1,CDK1,ZWINT,CDC20,PLK1,CCNB1,NDC80,MAD2L1,AURKB,CDT1,BLM,BUB1,TICRR,BIRC5,TPR,SPC24,NUF2,KNTC1,CHEK1,CENPF,PTEN,TTK,GTSE1,INCENP,ZW10,CLSPN,DTL,BUB1B,ORC1,FBXO5,CDCA8,JADE1,FZR1,NBN,ATM
GO:0051225	spindle assembly	4.3837234279026476e-10	4.3837234279026476e-10	+1	RPS3,RCC1,KIF11,PLK1,TPX2,KIF4A,KIFC1,AURKB,BIRC5,TPR,HNRNPU,SMC1A,NEK2,STIL,SMC3,MISP,INCENP,KIF23,SPAG5,GPSM2,RACGAP1,AAAS,KPNB1,CDCA8,LSM14A,MZT1,STAG2,CEP192,STAG1
GO:0042273	ribosomal large subunit biogenesis	1.224887145807799e-9	1.224887145807799e-9	+1	NPM1,BOP1,RPL7,RPL5,RPL7L1,NLE1,RPL10A,NHP2,RPL35A,LAS1L,NOC2L,RPL6,RPL10,MRTO4,RSL24D1,RSL1D1,RPL14,PES1,DDX18,EIF6,WDR74,RPL11,WDR12
GO:0006268	DNA unwinding involved in DNA replication	1.5305395179353203e-9	1.5305395179353203e-9	+1	HMGA1,CDC45,MCM5,BLM,MCM4,GINS2,MCM3,MCM7,MCM2,MCM6,RECQL4,GINS4,RPA1
